"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-02-06 23:25:07.527059","train",0,0.8597618140978738,3.6006463379505875e-05,"","","","","",""
200,"2026-02-06 23:25:11.434774","train",0,0.5226314142608317,3.602585332461948e-05,"","","","","",""
300,"2026-02-06 23:25:15.383626","train",0,0.7848822899104562,3.6058169255134484e-05,"","","","","",""
400,"2026-02-06 23:25:19.433201","train",0,0.72885064479633,3.6103410204059525e-05,"","","","","",""
500,"2026-02-06 23:25:23.531537","train",0,0.7542618905223207,3.6161574817647306e-05,"","","","","",""
600,"2026-02-06 23:25:27.453052","train",0,0.5661235015722923,3.623266135543491e-05,"","","","","",""
700,"2026-02-06 23:25:31.436685","train",0,0.741358353785472,3.631666769029617e-05,"","","","","",""
800,"2026-02-06 23:25:35.392686","train",0,0.7179982950445264,3.6413591308505095e-05,"","","","","",""
900,"2026-02-06 23:25:39.311591","train",0,0.6874466877867235,3.652342930981101e-05,"","","","","",""
1000,"2026-02-06 23:25:43.413412","train",0,0.7240466123912483,3.664617840752572e-05,"","","","","",""
1100,"2026-02-06 23:25:47.404643","train",0,0.6561600114451721,3.678183492862098e-05,"","","","","",""
1200,"2026-02-06 23:25:51.562026","train",0,0.7740388228063239,3.6930394813840055e-05,"","","","","",""
1300,"2026-02-06 23:25:55.578130","train",0,0.5689060198841617,3.709185361781722e-05,"","","","","",""
1400,"2026-02-06 23:25:59.549968","train",0,0.5873622706742025,3.726620650921228e-05,"","","","","",""
1500,"2026-02-06 23:26:03.571539","train",0,0.6767610879032873,3.745344827085415e-05,"","","","","",""
1600,"2026-02-06 23:26:07.634761","train",0,0.6285662668000441,3.76535732998978e-05,"","","","","",""
1700,"2026-02-06 23:26:11.588493","train",0,0.6037685329822124,3.78665756079914e-05,"","","","","",""
1800,"2026-02-06 23:26:15.523319","train",0,0.8646597339946311,3.809244882145536e-05,"","","","","",""
1900,"2026-02-06 23:26:19.538661","train",0,0.6839227584714536,3.8331186181473514e-05,"","","","","",""
2000,"2026-02-06 23:26:23.499160","train",0,0.5962829002179205,3.858278054429511e-05,"","","","","",""
2100,"2026-02-06 23:26:27.529189","train",0,0.5596670540777268,3.884722438144881e-05,"","","","","",""
2200,"2026-02-06 23:26:31.597729","train",0,0.8343398449069355,3.912450977996745e-05,"","","","","",""
2300,"2026-02-06 23:26:35.607479","train",0,0.5873721301788464,3.941462844262518e-05,"","","","","",""
2400,"2026-02-06 23:26:39.622249","train",0,0.6712119023577543,3.971757168818582e-05,"","","","","",""
2500,"2026-02-06 23:26:43.686978","train",0,0.7434886464296141,4.003333045166286e-05,"","","","","",""
2600,"2026-02-06 23:26:47.780770","train",0,0.7098716305103152,4.036189528458956e-05,"","","","","",""
2700,"2026-02-06 23:26:51.748420","train",0,0.7483164133649551,4.0703256355302986e-05,"","","","","",""
2800,"2026-02-06 23:26:55.816371","train",0,0.7850546525762183,4.1057403449237936e-05,"","","","","",""
2900,"2026-02-06 23:26:59.894194","train",0,0.7326731562032364,4.1424325969231617e-05,"","","","","",""
3000,"2026-02-06 23:27:04.045646","train",0,0.7643981559900567,4.180401293584228e-05,"","","","","",""
3100,"2026-02-06 23:27:08.066448","train",0,0.6186529878003058,4.2196452987676544e-05,"","","","","",""
3200,"2026-02-06 23:27:12.099853","train",0,0.7003187046386301,4.260163438172962e-05,"","","","","",""
3300,"2026-02-06 23:27:16.046566","train",0,0.7457254358188947,4.301954499373725e-05,"","","","","",""
3400,"2026-02-06 23:27:20.115005","train",0,0.6567305221542483,4.345017231853802e-05,"","","","","",""
3500,"2026-02-06 23:27:24.024922","train",0,0.6574069535301532,4.3893503470447226e-05,"","","","","",""
3600,"2026-02-06 23:27:28.043554","train",0,0.6426423963450361,4.4349525183643487e-05,"","","","","",""
3700,"2026-02-06 23:27:32.115720","train",0,0.6298582948802504,4.481822381256469e-05,"","","","","",""
3800,"2026-02-06 23:27:36.149822","train",0,0.6327146620838904,4.529958533231674e-05,"","","","","",""
3900,"2026-02-06 23:27:40.265584","train",0,0.6621723862714134,4.579359533909337e-05,"","","","","",""
4000,"2026-02-06 23:27:44.384213","train",0,0.7529625673443661,4.630023905060666e-05,"","","","","",""
4100,"2026-02-06 23:27:48.519858","train",0,0.5516838214476593,4.681950130652995e-05,"","","","","",""
4200,"2026-02-06 23:27:52.579961","train",0,0.5929993517071125,4.735136656895114e-05,"","","","","",""
4300,"2026-02-06 23:27:56.586457","train",0,0.8198797515360638,4.7895818922837584e-05,"","","","","",""
4400,"2026-02-06 23:28:00.804635","train",0,0.6622151663264958,4.845284207651251e-05,"","","","","",""
4500,"2026-02-06 23:28:04.859612","train",0,0.7794207832426763,4.902241936214247e-05,"","","","","",""
4600,"2026-02-06 23:28:08.999615","train",0,0.555645168502815,4.960453373623595e-05,"","","","","",""
4700,"2026-02-06 23:28:12.881301","train",0,0.6308153549616691,5.019916778015339e-05,"","","","","",""
4800,"2026-02-06 23:28:17.058532","train",0,0.6489245050906902,5.080630370062891e-05,"","","","","",""
4900,"2026-02-06 23:28:21.175678","train",0,0.5926478630281053,5.142592333030177e-05,"","","","","",""
5000,"2026-02-06 23:28:25.073461","train",0,0.6475019117584452,5.205800812826077e-05,"","","","","",""
5100,"2026-02-06 23:28:29.204303","train",0,0.6320741265721153,5.2702539180599214e-05,"","","","","",""
5200,"2026-02-06 23:28:33.215116","train",0,0.6543961243703962,5.335949720097961e-05,"","","","","",""
5300,"2026-02-06 23:28:37.283771","train",0,0.56331879227655,5.402886253121238e-05,"","","","","",""
5400,"2026-02-06 23:28:41.382749","train",0,0.5386647081468254,5.471061514184298e-05,"","","","","",""
5500,"2026-02-06 23:28:45.431517","train",0,0.6361030939093325,5.540473463275198e-05,"","","","","",""
5600,"2026-02-06 23:28:49.518683","train",0,0.7497611754166429,5.611120023376454e-05,"","","","","",""
