"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","challenge_score"
100,"2025-02-20 16:47:38.225403","train",0,0.047882966697216034,2.4018970384800508e-05,"","","","",""
200,"2025-02-20 16:47:47.793948","train",0,0.03565611317753792,2.407587904006657e-05,"","","","",""
300,"2025-02-20 16:47:57.133641","train",0,0.021582012996077538,2.4170718468721156e-05,"","","","",""
400,"2025-02-20 16:48:06.490888","train",0,0.02038593217730522,2.4303476176733394e-05,"","","","",""
500,"2025-02-20 16:48:15.949269","train",0,0.04717061296105385,2.4474134674764203e-05,"","","","",""
600,"2025-02-20 16:48:25.544315","train",0,0.004028382711112499,2.468267148047088e-05,"","","","",""
700,"2025-02-20 16:48:34.738257","train",0,0.02192647196352482,2.492905912146817e-05,"","","","",""
800,"2025-02-20 16:48:43.865531","train",0,0.047796882688999176,2.521326513894818e-05,"","","","",""
900,"2025-02-20 16:48:53.158702","train",0,0.020610515028238297,2.553525209195585e-05,"","","","",""
1000,"2025-02-20 16:49:02.410937","train",0,0.00497517641633749,2.589497756232183e-05,"","","","",""
1100,"2025-02-20 16:49:11.488956","train",0,0.01798761636018753,2.6292394160250363e-05,"","","","",""
1200,"2025-02-20 16:49:20.662956","train",0,0.024644536897540092,2.6727449530562124e-05,"","","","",""
1300,"2025-02-20 16:49:29.750503","train",0,0.019711360335350037,2.7200086359592123e-05,"","","","",""
1400,"2025-02-20 16:49:38.940192","train",0,0.03659220039844513,2.771024238273944e-05,"","","","",""
1500,"2025-02-20 16:49:48.085088","train",0,0.019270561635494232,2.825785039267041e-05,"","","","",""
1600,"2025-02-20 16:49:57.189959","train",0,0.01950686052441597,2.884283824817189e-05,"","","","",""
1700,"2025-02-20 16:50:06.514133","train",0,0.019224654883146286,2.9465128883655813e-05,"","","","",""
1800,"2025-02-20 16:50:16.085779","train",0,0.010913081467151642,3.0124640319310675e-05,"","","","",""
1900,"2025-02-20 16:50:25.565293","train",0,0.04938039928674698,3.082128567190236e-05,"","","","",""
2000,"2025-02-20 16:50:34.835308","train",0,0.025617722421884537,3.155497316621996e-05,"","","","",""
2100,"2025-02-20 16:50:44.077335","train",0,0.008410099893808365,3.232560614716549e-05,"","","","",""
2200,"2025-02-20 16:50:53.329770","train",0,0.033071018755435944,3.313308309248761e-05,"","","","",""
2300,"2025-02-20 16:51:02.619846","train",0,0.02308070845901966,3.397729762615585e-05,"","","","",""
2400,"2025-02-20 16:51:12.005972","train",0,0.013625060208141804,3.485813853237483e-05,"","","","",""
2500,"2025-02-20 16:51:21.551283","train",0,0.029107818379998207,3.577548977023537e-05,"","","","",""
2600,"2025-02-20 16:51:30.927496","train",0,0.031131545081734657,3.672923048900125e-05,"","","","",""
2700,"2025-02-20 16:51:40.353275","train",0,0.006549927871674299,3.771923504403054e-05,"","","","",""
2800,"2025-02-20 16:51:49.667661","train",0,0.00555658433586359,3.8745373013327985e-05,"","","","",""
2900,"2025-02-20 16:51:58.902761","train",0,0.035275671631097794,3.980750921472572e-05,"","","","",""
3000,"2025-02-20 16:52:08.111600","train",0,0.036102861166000366,4.09055037236929e-05,"","","","",""
3100,"2025-02-20 16:52:17.410549","train",0,0.008122341707348824,4.203921189176868e-05,"","","","",""
3200,"2025-02-20 16:52:26.714852","train",0,0.010220246389508247,4.320848436561856e-05,"","","","",""
3300,"2025-02-20 16:52:36.249480","train",0,0.018520638346672058,4.441316710670931e-05,"","","","",""
3400,"2025-02-20 16:52:45.653045","train",0,0.024212628602981567,4.5653101411602306e-05,"","","","",""
3500,"2025-02-20 16:52:55.179288","train",0,0.0031474679708480835,4.6928123932860944e-05,"","","","",""
3600,"2025-02-20 16:53:04.576123","train",0,0.054564766585826874,4.8238066700569365e-05,"","","","",""
3700,"2025-02-20 16:53:13.750208","train",0,0.013407583348453045,4.9582757144461115e-05,"","","","",""
3800,"2025-02-20 16:53:23.148563","train",0,0.03540967032313347,5.096201811665346e-05,"","","","",""
3900,"2025-02-20 16:53:32.506212","train",0,0.006242645904421806,5.237566791498364e-05,"","","","",""
4000,"2025-02-20 16:53:42.209390","train",0,0.033118680119514465,5.38235203069472e-05,"","","","",""
4100,"2025-02-20 16:53:51.826558","train",0,0.02115444280207157,5.530538455423184e-05,"","","","",""
4200,"2025-02-20 16:54:01.339801","train",0,0.025675630196928978,5.6821065437844356e-05,"","","","",""
4300,"2025-02-20 16:54:10.975907","train",0,0.020811006426811218,5.83703632838291e-05,"","","","",""
