"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-02-24 01:28:59.292090","train",0,0.16154026985168457,3.639987273107003e-05,"","","","","",""
200,"2026-02-24 01:29:24.807727","train",0,0.18167316913604736,3.759875065483106e-05,"","","","","",""
300,"2026-02-24 01:29:50.600399","train",0,0.17203889787197113,3.959441433336807e-05,"","","","","",""
400,"2026-02-24 01:30:16.485987","train",0,0.3143307566642761,4.23831692690634e-05,"","","","","",""
500,"2026-02-24 01:30:42.409490","train",0,0.2211357057094574,4.5959852744081767e-05,"","","","","",""
600,"2026-02-24 01:31:08.064840","train",0,0.02065151557326317,5.03178433779169e-05,"","","","","",""
700,"2026-02-24 01:31:33.985297","train",0,0.21024835109710693,5.544907338530646e-05,"","","","","",""
800,"2026-02-24 01:32:00.382153","train",0,0.17707261443138123,6.134404351182052e-05,"","","","","",""
900,"2026-02-24 01:32:26.656607","train",0,0.19644586741924286,6.799184061947745e-05,"","","","","",""
1000,"2026-02-24 01:32:53.014597","train",0,0.3427055776119232,7.538015788982784e-05,"","","","","",""
1100,"2026-02-24 01:33:19.042731","train",0,0.11676611006259918,8.349531760710842e-05,"","","","","",""
1200,"2026-02-24 01:33:45.376529","train",0,0.29194867610931396,9.232229647928572e-05,"","","","","",""
1217,"2026-02-24 01:36:18.291257","val",0,"","",0.7950495861019585,0.13667192907371006,0.7663276139593822,0.10164581961816985,0.6626609442060086,0.32274678111587984
1300,"2026-02-24 01:37:00.749812","train",1,0.17100471258163452,0.00010184475345011558,"","","","","",""
1400,"2026-02-24 01:37:26.166762","train",1,0.16254743933677673,0.00011204505995073032,"","","","","",""
1500,"2026-02-24 01:37:52.271758","train",1,0.1359376609325409,0.0001229043325347497,"","","","","",""
1600,"2026-02-24 01:38:18.219165","train",1,0.14096352458000183,0.0001344024678364995,"","","","","",""
1700,"2026-02-24 01:38:43.978466","train",1,0.12069788575172424,0.00014651817978762185,"","","","","",""
1800,"2026-02-24 01:39:10.115898","train",1,0.10629796981811523,0.00015922903902317802,"","","","","",""
1900,"2026-02-24 01:39:36.033707","train",1,0.16440258920192719,0.0001725115144042941,"","","","","",""
2000,"2026-02-24 01:40:01.921017","train",1,0.1848209947347641,0.0001863410165804793,"","","","","",""
2100,"2026-02-24 01:40:27.753340","train",1,0.16772519052028656,0.00020069194351097185,"","","","","",""
2200,"2026-02-24 01:40:53.971929","train",1,0.2621239423751831,0.00021553772786084063,"","","","","",""
2300,"2026-02-24 01:41:20.082484","train",1,0.18427082896232605,0.0002308508861841006,"","","","","",""
2400,"2026-02-24 01:41:46.073031","train",1,0.15929359197616577,0.0002466030698027883,"","","","","",""
2434,"2026-02-24 01:44:22.162729","val",1,"","",0.8200267275797322,0.14850835756287709,0.9545703619986986,0.20876826722338204,0.30042918454935624,0.3424892703862661
2500,"2026-02-24 01:45:00.190721","train",2,0.1878223866224289,0.0002627651172878115,"","","","","",""
2600,"2026-02-24 01:45:25.485980","train",2,0.21022239327430725,0.0002793071084444135,"","","","","",""
2700,"2026-02-24 01:45:51.571607","train",2,0.2683272361755371,0.0002961984197023109,"","","","","",""
2800,"2026-02-24 01:46:17.506020","train",2,0.1290699690580368,0.0003134077808079667,"","","","","",""
2900,"2026-02-24 01:46:43.565000","train",2,0.2821417450904846,0.00033090333271404155,"","","","","",""
