"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-02-25 20:32:07.170707","train",0,0.7083925604820251,3.635589686547865e-05,"","","","","",""
200,"2026-02-25 20:32:32.818361","train",0,0.7751373648643494,3.742300106108641e-05,"","","","","",""
300,"2026-02-25 20:32:59.234255","train",0,0.6654452085494995,3.919955435053451e-05,"","","","","",""
400,"2026-02-25 20:33:25.321481","train",0,0.7063426375389099,4.1682629559068314e-05,"","","","","",""
500,"2026-02-25 20:33:51.202110","train",0,0.775808572769165,4.486813539648633e-05,"","","","","",""
600,"2026-02-25 20:34:16.840348","train",0,0.6758548617362976,4.875082319824001e-05,"","","","","",""
700,"2026-02-25 20:34:42.953776","train",0,0.6697282195091248,5.332429557350403e-05,"","","","","",""
800,"2026-02-25 20:35:09.144692","train",0,0.6930385828018188,5.858101694596941e-05,"","","","","",""
900,"2026-02-25 20:35:35.265696","train",0,0.7170960307121277,6.451232596999218e-05,"","","","","",""
1000,"2026-02-25 20:36:01.648267","train",0,0.7546882629394531,7.110844980163773e-05,"","","","","",""
1100,"2026-02-25 20:36:27.950977","train",0,0.6971081495285034,7.835852020110989e-05,"","","","","",""
1200,"2026-02-25 20:36:54.487366","train",0,0.7645559310913086,8.625059144003037e-05,"","","","","",""
1290,"2026-02-25 20:39:45.718866","val",0,"","",0.7841546891109746,0.11489002888086847,0.9474468303709032,0.1984852441890833,0.3261802575107296,0.3356223175965665
1300,"2026-02-25 20:40:09.615756","train",1,0.6791185140609741,9.477165998406588e-05,"","","","","",""
1400,"2026-02-25 20:40:34.676674","train",1,0.6835428476333618,0.00010390768591846903,"","","","","",""
1500,"2026-02-25 20:41:00.737862","train",1,0.6882127523422241,0.00011364361608123569,"","","","","",""
1600,"2026-02-25 20:41:26.826916","train",1,0.7878744602203369,0.00012396340886575673,"","","","","",""
1700,"2026-02-25 20:41:53.163667","train",1,0.7015429735183716,0.00013485006065210503,"","","","","",""
1800,"2026-02-25 20:42:19.262986","train",1,0.6740856170654297,0.00014628563382339894,"","","","","",""
1900,"2026-02-25 20:42:45.716611","train",1,0.6314964294433594,0.00015825128632108965,"","","","","",""
2000,"2026-02-25 20:43:12.643646","train",1,0.7126392126083374,0.00017072730269046717,"","","","","",""
2100,"2026-02-25 20:43:39.042103","train",1,0.7284700870513916,0.00018369312656523742,"","","","","",""
2200,"2026-02-25 20:44:05.349045","train",1,0.6675369143486023,0.00019712739453764394,"","","","","",""
2300,"2026-02-25 20:44:31.776607","train",1,0.7159014940261841,0.00021100797135832855,"","","","","",""
2400,"2026-02-25 20:44:58.660001","train",1,0.7177302241325378,0.00022531198640793261,"","","","","",""
2500,"2026-02-25 20:45:25.083007","train",1,0.7356134653091431,0.00024001587138034505,"","","","","",""
2580,"2026-02-25 20:48:15.200105","val",1,"","",0.7984612406975208,0.1330405824680544,0.9479434227199561,0.21079958463136034,0.3484978540772532,0.3587982832618026
2600,"2026-02-25 20:48:41.520301","train",2,0.6874581575393677,0.0002550953991155104,"","","","","",""
2700,"2026-02-25 20:49:07.015858","train",2,0.6800017356872559,0.0002705257235178088,"","","","","",""
2800,"2026-02-25 20:49:32.614478","train",2,0.6824676394462585,0.0002862814204942399,"","","","","",""
2900,"2026-02-25 20:49:58.396435","train",2,0.6662464141845703,0.0003023365298449551,"","","","","",""
3000,"2026-02-25 20:50:24.631311","train",2,0.7069137096405029,0.00031866459803711676,"","","","","",""
3100,"2026-02-25 20:50:50.615470","train",2,0.7090994119644165,0.00033523872179160995,"","","","","",""
3200,"2026-02-25 20:51:17.071571","train",2,0.6214011311531067,0.00035203159241078497,"","","","","",""
3300,"2026-02-25 20:51:43.378703","train",2,0.6891564130783081,0.00036901554077419874,"","","","","",""
3400,"2026-02-25 20:52:09.695011","train",2,0.7099420428276062,0.0003861625829282122,"","","","","",""
3500,"2026-02-25 20:52:36.006907","train",2,0.6544840335845947,0.00040344446619433095,"","","","","",""
3600,"2026-02-25 20:53:02.272105","train",2,0.6708752512931824,0.0004208327157203141,"","","","","",""
3700,"2026-02-25 20:53:28.139655","train",2,0.628678560256958,0.0004382986813973542,"","","","","",""
3800,"2026-02-25 20:53:54.001861","train",2,0.6529836058616638,0.0004558135850660203,"","","","","",""
3870,"2026-02-25 20:56:40.410994","val",2,"","",0.8027695687735,0.12689686597244268,0.9610774341587041,0.22555366269165247,0.28412017167381975,0.36394849785407724
3900,"2026-02-25 20:57:09.516419","train",3,0.6356886625289917,0.0004733485679331885,"","","","","",""
4000,"2026-02-25 20:57:34.738383","train",3,0.7258054614067078,0.0004908747381218278,"","","","","",""
4100,"2026-02-25 20:58:00.778193","train",3,0.6229239702224731,0.0005083632182752997,"","","","","",""
4200,"2026-02-25 20:58:26.687730","train",3,0.7156457901000977,0.0005257851931377308,"","","","","",""
4300,"2026-02-25 20:58:52.783924","train",3,0.6527370810508728,0.0005431119570320657,"","","","","",""
4400,"2026-02-25 20:59:19.048392","train",3,0.6070335507392883,0.0005603149611575686,"","","","","",""
4500,"2026-02-25 20:59:45.554460","train",3,0.5956079959869385,0.0005773658606288458,"","","","","",""
4600,"2026-02-25 21:00:11.896030","train",3,0.6747020483016968,0.0005942365611788813,"","","","","",""
4700,"2026-02-25 21:00:38.039624","train",3,0.6947521567344666,0.0006108992654491376,"","","","","",""
4800,"2026-02-25 21:01:04.283066","train",3,0.7215497493743896,0.0006273265187904468,"","","","","",""
4900,"2026-02-25 21:01:30.651837","train",3,0.6834945678710938,0.0006434912544992322,"","","","","",""
5000,"2026-02-25 21:01:57.864844","train",3,0.6528754234313965,0.0006593668384145216,"","","","","",""
5100,"2026-02-25 21:02:29.283609","train",3,0.6130363345146179,0.0006749271128022724,"","","","","",""
5160,"2026-02-25 21:05:31.893406","val",3,"","",0.8185144243968016,0.10437012774056766,0.9474810781191136,0.20646830530401034,0.3424892703862661,0.35708154506437767
5200,"2026-02-25 21:06:03.355195","train",4,0.6176919937133789,0.0006901464394547046,"","","","","",""
5300,"2026-02-25 21:06:29.105064","train",4,0.6821436882019043,0.000704999741933622,"","","","","",""
5400,"2026-02-25 21:06:55.129336","train",4,0.6872598528862,0.0007194625468881254,"","","","","",""
5500,"2026-02-25 21:07:21.323995","train",4,0.6141864657402039,0.0007335110243786349,"","","","","",""
5600,"2026-02-25 21:07:47.623792","train",4,0.6603412628173828,0.0007471220271407813,"","","","","",""
5700,"2026-02-25 21:08:13.847630","train",4,0.6113964319229126,0.0007602731287244768,"","","","","",""
5800,"2026-02-25 21:08:39.835886","train",4,0.6712640523910522,0.0007729426604453172,"","","","","",""
5900,"2026-02-25 21:09:05.806641","train",4,0.6870126724243164,0.0007851097470874392,"","","","","",""
6000,"2026-02-25 21:09:32.066336","train",4,0.6473515033721924,0.0007967543412990004,"","","","","",""
6100,"2026-02-25 21:09:58.166799","train",4,0.6555615663528442,0.0008078572566236136,"","","","","",""
6200,"2026-02-25 21:10:24.199905","train",4,0.606281042098999,0.0008184001991133076,"","","","","",""
6300,"2026-02-25 21:10:50.388573","train",4,0.6201238632202148,0.00082836579747093,"","","","","",""
6400,"2026-02-25 21:11:17.258013","train",4,0.6005735397338867,0.0008377376316723227,"","","","","",""
6450,"2026-02-25 21:13:59.139820","val",4,"","",0.7865238391158976,0.09333759188638699,0.9440391794239529,0.19507389162561575,0.33991416309012873,0.3407725321888412
6500,"2026-02-25 21:14:33.123332","train",5,0.6401053071022034,0.000846500260021115,"","","","","",""
6600,"2026-02-25 21:14:59.500705","train",5,0.6480994820594788,0.0008546392445915541,"","","","","",""
6700,"2026-02-25 21:15:26.409570","train",5,0.5972248315811157,0.0008621411750174507,"","","","","",""
6800,"2026-02-25 21:15:53.203274","train",5,0.6573348045349121,0.0008689936905880476,"","","","","",""
6900,"2026-02-25 21:16:20.087030","train",5,0.6861275434494019,0.000875185500614399,"","","","","",""
7000,"2026-02-25 21:16:47.165364","train",5,0.6446192264556885,0.0008807064030327089,"","","","","",""
7100,"2026-02-25 21:17:14.082347","train",5,0.6230695843696594,0.0008855473012139711,"","","","","",""
7200,"2026-02-25 21:17:40.823139","train",5,0.6850666999816895,0.000889700218952219,"","","","","",""
7300,"2026-02-25 21:18:07.820946","train",5,0.5738799571990967,0.0008931583136066856,"","","","","",""
7400,"2026-02-25 21:18:34.817185","train",5,0.616439938545227,0.0008959158873762228,"","","","","",""
7500,"2026-02-25 21:19:01.793943","train",5,0.648367166519165,0.0008979683966874002,"","","","","",""
7600,"2026-02-25 21:19:28.869524","train",5,0.5995182394981384,0.0008993124596808189,"","","","","",""
7700,"2026-02-25 21:19:55.878915","train",5,0.6247268915176392,0.0008999458617833011,"","","","","",""
7740,"2026-02-25 21:22:35.086780","val",5,"","",0.8208543361902393,0.14936477270267043,0.9490907222850098,0.22959315884944287,0.3802575107296137,0.3871244635193133
7800,"2026-02-25 21:23:11.391942","train",6,0.5836811065673828,0.0008999746661829819,"","","","","",""
7900,"2026-02-25 21:23:36.993465","train",6,0.6042777895927429,0.0008998235310103225,"","","","","",""
8000,"2026-02-25 21:24:02.715001","train",6,0.6035420894622803,0.0008995362846778817,"","","","","",""
8100,"2026-02-25 21:24:28.955375","train",6,0.596085786819458,0.0008991130141032731,"","","","","",""
8200,"2026-02-25 21:24:55.322016","train",6,0.5745717287063599,0.0008985538473635657,"","","","","",""
8300,"2026-02-25 21:25:21.331921","train",6,0.5919127464294434,0.0008978589536565284,"","","","","",""
8400,"2026-02-25 21:25:47.445066","train",6,0.5547289252281189,0.000897028543249434,"","","","","",""
8500,"2026-02-25 21:26:13.417326","train",6,0.6273543238639832,0.0008960628674154328,"","","","","",""
8600,"2026-02-25 21:26:39.337175","train",6,0.5841811895370483,0.0008949622183575215,"","","","","",""
8700,"2026-02-25 21:27:05.785747","train",6,0.6195895075798035,0.0008937269291201252,"","","","","",""
8800,"2026-02-25 21:27:32.097239","train",6,0.6238889694213867,0.0008923573734883218,"","","","","",""
8900,"2026-02-25 21:27:58.201584","train",6,0.5768876075744629,0.0008908539658747388,"","","","","",""
9000,"2026-02-25 21:28:24.500563","train",6,0.6366751194000244,0.0008892171611941563,"","","","","",""
9030,"2026-02-25 21:31:00.799769","val",6,"","",0.8167727148620476,0.12632512590622236,0.9511627110517483,0.22119060622610595,0.34763948497854075,0.3708154506437768
9100,"2026-02-25 21:31:39.814020","train",7,0.7024903297424316,0.0008874474547258554,"","","","","",""
9200,"2026-02-25 21:32:05.860498","train",7,0.655403196811676,0.0008855453819637507,"","","","","",""
9300,"2026-02-25 21:32:31.812374","train",7,0.6332376003265381,0.0008835115184543577,"","","","","",""
9400,"2026-02-25 21:32:58.068634","train",7,0.6293384432792664,0.0008813464796226367,"","","","","",""
9500,"2026-02-25 21:33:24.231315","train",7,0.6231274008750916,0.0008790509205857734,"","","","","",""
9600,"2026-02-25 21:33:50.593153","train",7,0.5171337127685547,0.0008766255359549465,"","","","","",""
9700,"2026-02-25 21:34:16.728149","train",7,0.6750797033309937,0.0008740710596251464,"","","","","",""
9800,"2026-02-25 21:34:43.069690","train",7,0.6911477446556091,0.0008713882645531069,"","","","","",""
9900,"2026-02-25 21:35:09.121993","train",7,0.6209438443183899,0.000868577962523416,"","","","","",""
10000,"2026-02-25 21:35:36.062405","train",7,0.6305272579193115,0.0008656410039028801,"","","","","",""
10100,"2026-02-25 21:36:02.411988","train",7,0.6011413335800171,0.0008625782773832103,"","","","","",""
10200,"2026-02-25 21:36:28.998323","train",7,0.6324265003204346,0.0008593907097121157,"","","","","",""
10300,"2026-02-25 21:36:55.519061","train",7,0.5811283588409424,0.0008560792654128791,"","","","","",""
10320,"2026-02-25 21:39:29.302655","val",7,"","",0.817279318056024,0.13890547886786642,0.9248261926778314,0.19331128261668504,0.4515021459227468,0.3905579399141631
10400,"2026-02-25 21:40:11.135029","train",8,0.6556308269500732,0.0008526449464925025,"","","","","",""
10500,"2026-02-25 21:40:36.825937","train",8,0.6266435384750366,0.0008490887921385106,"","","","","",""
10600,"2026-02-25 21:41:02.674583","train",8,0.6097791194915771,0.0008454118784045049,"","","","","",""
10700,"2026-02-25 21:41:29.127313","train",8,0.6539323329925537,0.0008416153178845599,"","","","","",""
