"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-03-07 00:05:29.488968","train",0,0.5859220027923584,3.639987273107003e-05,"","","","","",""
200,"2026-03-07 00:05:54.287265","train",0,0.6505130529403687,3.759875065483106e-05,"","","","","",""
300,"2026-03-07 00:06:20.441159","train",0,0.5662940740585327,3.959441433336807e-05,"","","","","",""
400,"2026-03-07 00:06:45.802340","train",0,0.5870180130004883,4.23831692690634e-05,"","","","","",""
500,"2026-03-07 00:07:11.935305","train",0,0.5938231945037842,4.5959852744081767e-05,"","","","","",""
600,"2026-03-07 00:07:38.190303","train",0,0.5769068598747253,5.03178433779169e-05,"","","","","",""
700,"2026-03-07 00:08:04.255290","train",0,0.5608920454978943,5.544907338530646e-05,"","","","","",""
800,"2026-03-07 00:08:30.032134","train",0,0.6233822107315063,6.134404351182052e-05,"","","","","",""
900,"2026-03-07 00:08:56.019112","train",0,0.5481507778167725,6.799184061947745e-05,"","","","","",""
1000,"2026-03-07 00:09:22.836244","train",0,0.5369512438774109,7.538015788982784e-05,"","","","","",""
1100,"2026-03-07 00:09:48.704235","train",0,0.5806240439414978,8.349531760710842e-05,"","","","","",""
1200,"2026-03-07 00:10:14.807603","train",0,0.5590952634811401,9.232229647928572e-05,"","","","","",""
1217,"2026-03-07 00:12:49.200791","val",0,"","",0.7506129188501277,0.10635664860492001,0.7417891023665194,0.0859550221252349,0.6085836909871245,0.303862660944206
1300,"2026-03-07 00:13:33.179971","train",1,0.6151732802391052,0.00010184475345011558,"","","","","",""
1400,"2026-03-07 00:13:59.669095","train",1,0.5710174441337585,0.00011204505995073032,"","","","","",""
1500,"2026-03-07 00:14:25.927871","train",1,0.5852440595626831,0.0001229043325347497,"","","","","",""
1600,"2026-03-07 00:14:52.441657","train",1,0.5572581887245178,0.0001344024678364995,"","","","","",""
1700,"2026-03-07 00:15:18.677540","train",1,0.523472785949707,0.00014651817978762185,"","","","","",""
1800,"2026-03-07 00:15:45.152038","train",1,0.5615553259849548,0.00015922903902317802,"","","","","",""
1900,"2026-03-07 00:16:13.018238","train",1,0.5923210978507996,0.0001725115144042941,"","","","","",""
2000,"2026-03-07 00:16:40.030555","train",1,0.555264949798584,0.0001863410165804793,"","","","","",""
2100,"2026-03-07 00:17:06.307626","train",1,0.5705754160881042,0.00020069194351097185,"","","","","",""
2200,"2026-03-07 00:17:32.886354","train",1,0.5681021809577942,0.00021553772786084063,"","","","","",""
2300,"2026-03-07 00:17:59.210731","train",1,0.6158122420310974,0.0002308508861841006,"","","","","",""
2400,"2026-03-07 00:18:27.291923","train",1,0.5890846252441406,0.0002466030698027883,"","","","","",""
2434,"2026-03-07 00:21:10.349628","val",1,"","",0.7841720640625036,0.1162069678768329,0.8872221651426418,0.1417774302840761,0.4669527896995708,0.34506437768240344
2500,"2026-03-07 00:21:51.341179","train",2,0.5784315466880798,0.0002627651172878115,"","","","","",""
2600,"2026-03-07 00:22:17.968896","train",2,0.593415379524231,0.0002793071084444135,"","","","","",""
2700,"2026-03-07 00:22:46.083925","train",2,0.5779250264167786,0.0002961984197023109,"","","","","",""
2800,"2026-03-07 00:23:13.050303","train",2,0.5903351306915283,0.0003134077808079667,"","","","","",""
2900,"2026-03-07 00:23:39.706103","train",2,0.5654970407485962,0.00033090333271404155,"","","","","",""
3000,"2026-03-07 00:24:06.545925","train",2,0.5438749194145203,0.00034865268655885824,"","","","","",""
3100,"2026-03-07 00:24:35.511624","train",2,0.5833479762077332,0.0003666229836266914,"","","","","",""
3200,"2026-03-07 00:25:02.280100","train",2,0.5405851602554321,0.00038478095617788084,"","","","","",""
3300,"2026-03-07 00:25:29.442734","train",2,0.5658977031707764,0.0004030929890361546,"","","","","",""
3400,"2026-03-07 00:25:56.025044","train",2,0.5635746717453003,0.0004215251818191491,"","","","","",""
3500,"2026-03-07 00:26:22.809924","train",2,0.5813362002372742,0.00044004341169692117,"","","","","",""
3600,"2026-03-07 00:26:50.481476","train",2,0.5378262400627136,0.00045861339656226807,"","","","","",""
3651,"2026-03-07 00:29:34.525719","val",2,"","",0.7974931476925622,0.14140200680151577,0.9680810986677626,0.22527015793848712,0.23261802575107296,0.36137339055793993
3700,"2026-03-07 00:30:08.674184","train",3,0.5760707259178162,0.0004772007584959118,"","","","","",""
3800,"2026-03-07 00:30:35.160176","train",3,0.5725210905075073,0.0004957710874090571,"","","","","",""
3900,"2026-03-07 00:31:00.770922","train",3,0.581485390663147,0.0005142900047455031,"","","","","",""
4000,"2026-03-07 00:31:27.006722","train",3,0.5362738966941833,0.0005327232271253803,"","","","","",""
4100,"2026-03-07 00:31:52.594426","train",3,0.5395566821098328,0.0005510366298126914,"","","","","",""
4200,"2026-03-07 00:32:18.804922","train",3,0.5898248553276062,0.0005691963098891597,"","","","","",""
