"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-02-07 17:12:15.053354","train",0,0.6962628925801255,3.623250750205793e-05,"","","","","",""
200,"2026-02-07 17:12:43.064885","train",0,0.7436002654302378,3.692977973166476e-05,"","","","","",""
300,"2026-02-07 17:13:10.186035","train",0,0.7291410496894969,3.809106612852212e-05,"","","","","",""
400,"2026-02-07 17:13:36.877871","train",0,0.6967544625911009,3.9715116656522395e-05,"","","","","",""
500,"2026-02-07 17:14:06.034978","train",0,0.6514522906281247,4.1800183149316174e-05,"","","","","",""
600,"2026-02-07 17:14:34.701121","train",0,0.7012406861438647,4.4344021192079864e-05,"","","","","",""
700,"2026-02-07 17:15:02.602555","train",0,0.7010042801174372,4.734389253745728e-05,"","","","","",""
800,"2026-02-07 17:15:32.188342","train",0,0.7102979060019909,5.07965680530732e-05,"","","","","",""
900,"2026-02-07 17:16:00.317603","train",0,0.6621539866363794,5.4698331197448424e-05,"","","","","",""
1000,"2026-02-07 17:16:28.015176","train",0,0.7083842136841364,5.9044982020572023e-05,"","","","","",""
1100,"2026-02-07 17:16:55.360667","train",0,0.6698357150072601,6.38318416848275e-05,"","","","","",""
1200,"2026-02-07 17:17:26.021911","train",0,0.7606183404011971,6.905375750140331e-05,"","","","","",""
1300,"2026-02-07 17:17:53.598760","train",0,0.6756228803176781,7.470510847676988e-05,"","","","","",""
1400,"2026-02-07 17:18:21.132805","train",0,0.6767813567593596,8.07798113632484e-05,"","","","","",""
1500,"2026-02-07 17:18:49.095154","train",0,0.6574138124468543,8.72713272071638e-05,"","","","","",""
1596,"2026-02-07 17:32:42.738583","train",0,"","",0.8091632001209349,0.31002451818941723,0.35455044110252776,0.1633181673896942,0.9569961807450027,0.29720747978770895
1596,"2026-02-07 17:35:44.280336","val",0,"","",0.8040115279559998,0.14067794111232182,0.3234783084563501,0.05518084720178841,0.9481286933683519,0.34077478660538413
1600,"2026-02-07 17:36:06.492848","train",1,0.7236195823585148,9.417266838752784e-05,"","","","","",""
1700,"2026-02-07 17:36:31.710130","train",1,0.6459069157614673,0.00010147640613767978,"","","","","",""
1800,"2026-02-07 17:36:57.266478","train",1,0.6634636236417766,0.00010917467854178664,"","","","","",""
1900,"2026-02-07 17:37:23.382716","train",1,0.6512227646000004,0.00011725919899759432,"","","","","",""
2000,"2026-02-07 17:37:49.502621","train",1,0.7377213548737928,0.0001257212651363228,"","","","","",""
2100,"2026-02-07 17:38:15.368892","train",1,0.6932017217732209,0.00013455176819010084,"","","","","",""
2200,"2026-02-07 17:38:41.832517","train",1,0.6534591179603011,0.00014374120279685913,"","","","","",""
2300,"2026-02-07 17:39:07.765006","train",1,0.7350538616058959,0.0001532796772321269,"","","","","",""
2400,"2026-02-07 17:39:34.573121","train",1,0.6615522595619647,0.00016315692405671702,"","","","","",""
2500,"2026-02-07 17:40:01.232870","train",1,0.6653820950831383,0.00017336231116884073,"","","","","",""
2600,"2026-02-07 17:40:27.590609","train",1,0.6813392062778197,0.00018388485324875273,"","","","","",""
2700,"2026-02-07 17:40:53.840956","train",1,0.6200745514889907,0.00019471322358360888,"","","","","",""
2800,"2026-02-07 17:41:20.125222","train",1,0.7012670487946402,0.0002058357662598079,"","","","","",""
2900,"2026-02-07 17:41:46.701057","train",1,0.6552042850538176,0.0002172405087096914,"","","","","",""
3000,"2026-02-07 17:42:13.234872","train",1,0.6379459018278187,0.00022891517459909928,"","","","","",""
3100,"2026-02-07 17:42:39.573233","train",1,0.6341337720098332,0.0002408471970419048,"","","","","",""
3192,"2026-02-07 17:55:52.429591","train",1,"","",0.8293742681361669,0.353284748362638,0.8352542461423935,0.3343974250738708,0.628689053122365,0.33440801547542287
3192,"2026-02-07 17:58:54.756165","val",1,"","",0.8199001826678647,0.16160306140726338,0.8396289658380419,0.13401300236406619,0.5955351280367696,0.38476690741956665
3200,"2026-02-07 17:59:17.962047","train",2,0.6785988452417465,0.00025302373212730887,"","","","","",""
3300,"2026-02-07 17:59:43.566326","train",2,0.6437404501605972,0.00026543167274532776,"","","","","",""
3400,"2026-02-07 18:00:09.231446","train",2,0.6566783812651313,0.0002780576626955969,"","","","","",""
3500,"2026-02-07 18:00:35.008916","train",2,0.6261527070848387,0.0002908881110642999,"","","","","",""
3600,"2026-02-07 18:01:01.468418","train",2,0.6450690756794453,0.0003039092068537492,"","","","","",""
3700,"2026-02-07 18:01:27.932722","train",2,0.664463790567,0.00031710693384887035,"","","","","",""
3800,"2026-02-07 18:01:54.115548","train",2,0.6296927086726403,0.0003304670857045873,"","","","","",""
3900,"2026-02-07 18:02:20.415488","train",2,0.5946884295849789,0.00034397528123786703,"","","","","",""
4000,"2026-02-07 18:02:46.728117","train",2,0.6891934285282331,0.00035761697990796526,"","","","","",""
4100,"2026-02-07 18:03:13.080261","train",2,0.672285709217249,0.0003713774974682082,"","","","","",""
4200,"2026-02-07 18:03:39.520920","train",2,0.6727383503054929,0.0003852420217724616,"","","","","",""
4300,"2026-02-07 18:04:06.107710","train",2,0.6453222154295266,0.0003991956287192754,"","","","","",""
4400,"2026-02-07 18:04:32.635434","train",2,0.6145538331547868,0.00041322329831653884,"","","","","",""
4500,"2026-02-07 18:04:58.714829","train",2,0.6543386308437523,0.00042730993084935513,"","","","","",""
4600,"2026-02-07 18:05:24.978014","train",2,0.6281107627870255,0.0004414403631337306,"","","","","",""
4700,"2026-02-07 18:05:51.241995","train",2,0.6437295492270398,0.0004555993848385845,"","","","","",""
4788,"2026-02-07 18:19:05.759497","train",2,"","",0.8545611248332015,0.41435753057630925,0.9024415726888644,0.42489799060743705,0.5474926838946481,0.3882743911512326
4788,"2026-02-07 18:22:07.380787","val",2,"","",0.8415661363448501,0.19882530163425902,0.917078242786587,0.20698678529373282,0.5193696651346028,0.4340118187787262
4800,"2026-02-07 18:22:31.811297","train",3,0.6076903708106934,0.0004697717548585085,"","","","","",""
4900,"2026-02-07 18:22:57.230068","train",3,0.6550741599892564,0.00048394221771965297,"","","","","",""
5000,"2026-02-07 18:23:22.506810","train",3,0.64223806205952,0.0004980955200010787,"","","","","",""
5100,"2026-02-07 18:23:48.228408","train",3,0.6476825146931408,0.0005122164267538996,"","","","","",""
5200,"2026-02-07 18:24:13.890394","train",3,0.6839682741979383,0.0005262897379005426,"","","","","",""
5300,"2026-02-07 18:24:40.148703","train",3,0.6239153895484529,0.0005403003045964683,"","","","","",""
5400,"2026-02-07 18:25:05.908238","train",3,0.6326358377347181,0.0005542330455367474,"","","","","",""
5500,"2026-02-07 18:25:32.443516","train",3,0.5965646541663621,0.0005680729631899309,"","","","","",""
5600,"2026-02-07 18:25:58.823118","train",3,0.670673449323514,0.0005818051599417496,"","","","","",""
5700,"2026-02-07 18:26:25.228269","train",3,0.7278134115048678,0.0005954148541312562,"","","","","",""
5800,"2026-02-07 18:26:51.354818","train",3,0.6656247263424309,0.0006088873959621559,"","","","","",""
5900,"2026-02-07 18:27:17.338351","train",3,0.6426090283908185,0.0006222082832721915,"","","","","",""
6000,"2026-02-07 18:27:43.854812","train",3,0.6653737276303691,0.0006353631771436148,"","","","","",""
6100,"2026-02-07 18:28:10.581782","train",3,0.6441085200577921,0.0006483379173379356,"","","","","",""
6200,"2026-02-07 18:28:37.230678","train",3,0.6614271311745634,0.0006611185375383371,"","","","","",""
6300,"2026-02-07 18:29:03.724902","train",3,0.6262365039872574,0.000673691280383349,"","","","","",""
6384,"2026-02-07 18:42:17.509499","train",3,"","",0.8547650581619537,0.45003151836110306,0.9424575059259888,0.44389751356809287,0.34889142403650614,0.4143147661326323
6384,"2026-02-07 18:45:19.401578","val",3,"","",0.8327059788657198,0.18382014505989608,0.9697235029346175,0.29184,0.2994090610636901,0.443204202232436
6400,"2026-02-07 18:45:44.922939","train",4,0.6317204469997941,0.000686042612275597,"","","","","",""
6500,"2026-02-07 18:46:10.219603","train",4,0.652923608697725,0.0006981592379496857,"","","","","",""
6600,"2026-02-07 18:46:36.350457","train",4,0.6545827773272321,0.0007100281147835372,"","","","","",""
6700,"2026-02-07 18:47:01.622703","train",4,0.5864757182036529,0.0007216364668377771,"","","","","",""
6800,"2026-02-07 18:47:27.358104","train",4,0.6825443166567229,0.0007329717986080573,"","","","","",""
6900,"2026-02-07 18:47:53.690461","train",4,0.6001256986532704,0.0007440219084755129,"","","","","",""
7000,"2026-02-07 18:48:19.951395","train",4,0.6643708641478143,0.0007547749018408715,"","","","","",""
7100,"2026-02-07 18:48:46.162563","train",4,0.638332074726577,0.0007652192039280822,"","","","","",""
7200,"2026-02-07 18:49:12.822680","train",4,0.6249561070211408,0.0007753435722436774,"","","","","",""
7300,"2026-02-07 18:49:40.029854","train",4,0.6684150262698418,0.0007851371086784579,"","","","","",""
7400,"2026-02-07 18:50:06.511864","train",4,0.6278197331561614,0.000794589271238476,"","","","","",""
7500,"2026-02-07 18:50:33.603893","train",4,0.711062609126202,0.0008036898853926857,"","","","","",""
7600,"2026-02-07 18:50:59.844316","train",4,0.5956080358665928,0.0008124291550250493,"","","","","",""
7700,"2026-02-07 18:51:25.630885","train",4,0.5950079638212893,0.0008207976729793072,"","","","","",""
7800,"2026-02-07 18:51:51.802199","train",4,0.6361401406008108,0.0008287864311850639,"","","","","",""
7900,"2026-02-07 18:52:18.990475","train",4,0.6370698303206798,0.000836386830354287,"","","","","",""
7980,"2026-02-07 19:05:31.310497","train",4,"","",0.8717384331705843,0.47323047514487404,0.9358034204219696,0.48186992726889427,0.4534993303903576,0.42021725112841624
7980,"2026-02-07 19:08:33.384914","val",4,"","",0.8452591400216016,0.14775649607993097,0.9557413158578797,0.2537485582468281,0.36112934996717005,0.4051214707813526
8000,"2026-02-07 19:09:00.031231","train",5,0.656979103099826,0.0008435906892377845,"","","","","",""
8100,"2026-02-07 19:09:25.858222","train",5,0.6286552539671592,0.0008503902534316946,"","","","","",""
8200,"2026-02-07 19:09:51.621163","train",5,0.6550050399753592,0.0008567782037245087,"","","","","",""
8300,"2026-02-07 19:10:17.507500","train",5,0.6057015097821742,0.0008627476639756443,"","","","","",""
8400,"2026-02-07 19:10:43.362814","train",5,0.625146053707194,0.0008682922085170846,"","","","","",""
8500,"2026-02-07 19:11:09.796234","train",5,0.5628024298755689,0.0008734058690701194,"","","","","",""
8600,"2026-02-07 19:11:36.498452","train",5,0.6118848740432549,0.0008780831411697416,"","","","","",""
8700,"2026-02-07 19:12:03.202534","train",5,0.6817783726554382,0.0008823189900897829,"","","","","",""
8800,"2026-02-07 19:12:29.550838","train",5,0.5894805261753026,0.0008861088562624125,"","","","","",""
8900,"2026-02-07 19:12:56.173025","train",5,0.5584650206083364,0.0008894486601861629,"","","","","",""
9000,"2026-02-07 19:13:22.686758","train",5,0.5749744214251425,0.0008923348068172025,"","","","","",""
9100,"2026-02-07 19:13:49.358542","train",5,0.6381867040657785,0.0008947641894391248,"","","","","",""
9200,"2026-02-07 19:14:15.819094","train",5,0.6190895579915168,0.0008967341930070921,"","","","","",""
9300,"2026-02-07 19:14:43.019946","train",5,0.6452625768835332,0.0008982426969627311,"","","","","",""
9400,"2026-02-07 19:15:09.840336","train",5,0.62426852421939,0.0008992880775167522,"","","","","",""
9500,"2026-02-07 19:15:37.041280","train",5,0.6615170448175377,0.0008998692093968343,"","","","","",""
9576,"2026-02-07 19:28:46.913715","train",5,"","",0.8880949679780598,0.5198372688192927,0.9405278864299754,0.5175217863481048,0.48454937751103616,0.4496304746788354
9576,"2026-02-07 19:31:49.224557","val",5,"","",0.852256362343466,0.15927361519110605,0.9582449755790569,0.27298713673177705,0.37623112278397897,0.43335521996060405
9600,"2026-02-07 19:32:17.328313","train",6,0.6215207044308448,0.0008999972200418941,"","","","","",""
9700,"2026-02-07 19:32:43.247861","train",6,0.6103035907316335,0.0008999305027647166,"","","","","",""
9800,"2026-02-07 19:33:08.688124","train",6,0.586518465211735,0.0008997748419405146,"","","","","",""
9900,"2026-02-07 19:33:34.565899","train",6,0.5938728663297652,0.0008995302683408873,"","","","","",""
10000,"2026-02-07 19:34:00.704526","train",6,0.5996954405561463,0.0008991968303140363,"","","","","",""
10100,"2026-02-07 19:34:26.702950","train",6,0.6335537576968913,0.0008987745937752067,"","","","","",""
10200,"2026-02-07 19:34:52.989590","train",6,0.6265858915856852,0.0008982636421936576,"","","","","",""
10300,"2026-02-07 19:35:19.442237","train",6,0.5854196790804385,0.0008976640765761612,"","","","","",""
10400,"2026-02-07 19:35:45.465542","train",6,0.6198151950064916,0.0008969760154470358,"","","","","",""
10500,"2026-02-07 19:36:12.092471","train",6,0.6001788250012751,0.0008961995948247147,"","","","","",""
10600,"2026-02-07 19:36:38.627273","train",6,0.5878942115091672,0.0008953349681948588,"","","","","",""
10700,"2026-02-07 19:37:04.641052","train",6,0.6341202651107085,0.0008943823064800137,"","","","","",""
10800,"2026-02-07 19:37:31.127054","train",6,0.5980991840714907,0.0008933417980058221,"","","","","",""
10900,"2026-02-07 19:37:57.562285","train",6,0.6348485191829956,0.0008922136484637939,"","","","","",""
11000,"2026-02-07 19:38:23.879151","train",6,0.6456361784302322,0.000890998080870646,"","","","","",""
11100,"2026-02-07 19:38:50.040284","train",6,0.6246023431693231,0.0008896953355242133,"","","","","",""
11172,"2026-02-07 19:51:59.110985","train",6,"","",0.8900345936312791,0.5715331341007834,0.9462122646745766,0.5552375809935205,0.5100441446356827,0.48420217251128417
