"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","challenge_score"
100,"2025-02-22 01:36:00.025480","train",0,0.024915093556046486,2.407588458461121e-05,"","","","",""
200,"2025-02-22 01:36:40.224508","train",0,0.005983073730021715,2.4303498349068542e-05,"","","","",""
300,"2025-02-22 01:37:14.482800","train",0,0.036432214081287384,2.46827213463166e-05,"","","","",""
400,"2025-02-22 01:38:03.832507","train",0,0.030110739171504974,2.521335373483044e-05,"","","","",""
500,"2025-02-22 01:38:28.958699","train",0,0.04408299922943115,2.589511588392654e-05,"","","","",""
600,"2025-02-22 01:38:47.626070","train",0,0.018738439306616783,2.672764852112259e-05,"","","","",""
700,"2025-02-22 01:39:05.995078","train",0,0.01148661132901907,2.771051292146465e-05,"","","","",""
800,"2025-02-22 01:39:26.215567","train",0,0.03726568818092346,2.8843191138725474e-05,"","","","",""
900,"2025-02-22 01:39:46.265844","train",0,0.025486549362540245,3.0125086278349144e-05,"","","","",""
1000,"2025-02-22 01:40:06.238451","train",0,0.035331204533576965,3.1555522812001216e-05,"","","","",""
1100,"2025-02-22 01:40:26.412491","train",0,0.02062542364001274,3.313374693355534e-05,"","","","",""
1200,"2025-02-22 01:40:47.496118","train",0,0.008384033106267452,3.485892695633203e-05,"","","","",""
1300,"2025-02-22 01:41:08.042043","train",0,0.02770432084798813,3.6730153751376874e-05,"","","","",""
1400,"2025-02-22 01:41:28.443243","train",0,0.011974354274570942,3.8746441226550615e-05,"","","","",""
1500,"2025-02-22 01:41:48.844156","train",0,0.014534972608089447,4.090672684617608e-05,"","","","",""
1600,"2025-02-22 01:42:09.105705","train",0,0.007960445247590542,4.32098721909694e-05,"","","","",""
1700,"2025-02-22 01:42:29.424650","train",0,0.031168794259428978,4.565466355795978e-05,"","","","",""
1800,"2025-02-22 01:42:49.435157","train",0,0.008248789235949516,4.8239812600082326e-05,"","","","",""
1900,"2025-02-22 01:43:09.865835","train",0,0.029064472764730453,5.096395700510635e-05,"","","","",""
2000,"2025-02-22 01:43:30.542162","train",0,0.03447818011045456,5.382566121354157e-05,"","","","",""
2100,"2025-02-22 01:43:51.287773","train",0,0.02112765796482563,5.682341717514405e-05,"","","","",""
2200,"2025-02-22 01:44:11.786279","train",0,0.006208239123225212,5.995564514362265e-05,"","","","",""
2281,"2025-02-22 01:52:23.184896","train",0,"","",0.7981114364816396,0.11175041102706322,0.9690822281893906,0.18624357703055983,0.3305417877285934
2281,"2025-02-22 01:54:23.992195","val",0,"","",0.8063337474269775,0.12292230307068451,0.968957355697536,0.19624512929507615,0.34077478660538413
2300,"2025-02-22 01:54:28.991260","train",1,0.02358921244740486,6.322069450912817e-05,"","","","",""
2400,"2025-02-22 01:54:49.631998","train",1,0.032294340431690216,6.661684466808529e-05,"","","","",""
2500,"2025-02-22 01:55:10.326396","train",1,0.014188236556947231,7.014230592991013e-05,"","","","",""
2600,"2025-02-22 01:55:31.095286","train",1,0.01600474677979946,7.37952204601344e-05,"","","","",""
2700,"2025-02-22 01:55:51.650331","train",1,0.006264321971684694,7.757366325944059e-05,"","","","",""
2800,"2025-02-22 01:56:12.321934","train",1,0.013598437421023846,8.147564317809034e-05,"","","","",""
2900,"2025-02-22 01:56:32.829894","train",1,0.009519366547465324,8.549910396521366e-05,"","","","",""
3000,"2025-02-22 01:56:53.804548","train",1,0.01304885558784008,8.964192535240419e-05,"","","","",""
3100,"2025-02-22 01:57:14.852506","train",1,0.004980182275176048,9.390192417104998e-05,"","","","",""
