"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score","loss","lr"
13,"2026-02-12 19:43:14.247599","train",0,0.6080474990389133,0.12207084114942952,0.9330065359477124,0.0,0.0,0.13414634146341464,"",""
13,"2026-02-12 19:43:37.601358","val",0,0.4733868943007783,0.02548818151828025,0.9759862778730704,0.0,0.0,0.0,"",""
26,"2026-02-12 19:44:29.924296","train",1,0.7142502456110376,0.1926052910071158,0.9330065359477124,0.0,0.0,0.23170731707317074,"",""
26,"2026-02-12 19:44:53.220530","val",1,0.6476274165202109,0.042661787541362656,0.9759862778730704,0.0,0.0,0.07142857142857142,"",""
39,"2026-02-12 19:45:45.665534","train",2,0.8047445645209516,0.313949363612429,0.9309640522875817,0.2683982683982684,0.18902439024390244,0.3170731707317073,"",""
39,"2026-02-12 19:46:08.874642","val",2,0.6854130052724078,0.06775338747354072,0.9605488850771869,0.14814814814814814,0.14285714285714285,0.21428571428571427,"",""
52,"2026-02-12 19:47:01.352848","train",3,0.8404756311135791,0.3419713165122986,0.7671568627450981,0.29455445544554454,0.725609756097561,0.31097560975609756,"",""
52,"2026-02-12 19:47:24.574561","val",3,0.6567913632939995,0.089765496109879,0.7272727272727273,0.05917159763313609,0.35714285714285715,0.21428571428571427,"",""
65,"2026-02-12 19:48:16.817068","train",4,0.8798267908248258,0.4544704459031001,0.8051470588235294,0.34924965893587995,0.7804878048780488,0.3780487804878049,"",""
65,"2026-02-12 19:48:40.120981","val",4,0.6008034145116746,0.063392089946751,0.7701543739279588,0.056338028169014086,0.2857142857142857,0.21428571428571427,"",""
78,"2026-02-12 19:49:32.855460","train",5,0.8991446328648925,0.5509182710157948,0.6781045751633987,0.2690166975881262,0.8841463414634146,0.4634146341463415,"",""
78,"2026-02-12 19:49:56.074088","val",5,0.6192568415767009,0.11545171369837551,0.614065180102916,0.058577405857740586,0.5,0.14285714285714285,"",""
91,"2026-02-12 19:50:48.352450","train",6,0.932203344581607,0.6730783952217905,0.766748366013072,0.3459335624284078,0.9207317073170732,0.5426829268292683,"",""
91,"2026-02-12 19:51:11.615952","val",6,0.7248305297514437,0.1197470457963596,0.7049742710120068,0.07526881720430108,0.5,0.14285714285714285,"",""
100,"2026-02-12 19:51:34.647508","train",7,"","","","","","",0.6578766333608654,0.0008649989207926915
104,"2026-02-12 19:52:03.863351","train",7,0.9382288240570673,0.6950719123811712,0.7879901960784313,0.36319018404907977,0.9024390243902439,0.5792682926829268,"",""
104,"2026-02-12 19:52:27.135332","val",7,0.7228219934722571,0.06362576840471182,0.758147512864494,0.10191082802547771,0.5714285714285714,0.07142857142857142,"",""
117,"2026-02-12 19:53:19.456503","train",8,0.9396143906710521,0.678421306961363,0.5747549019607843,0.2328666175386883,0.9634146341463414,0.5548780487804879,"",""
117,"2026-02-12 19:53:42.747153","val",8,0.6328144614612101,0.05132275166860467,0.5591766723842195,0.06545454545454546,0.6428571428571429,0.07142857142857142,"",""
130,"2026-02-12 19:54:34.987994","train",9,0.9643863995557643,0.8578408354818811,0.8488562091503268,0.4526627218934911,0.9329268292682927,0.6890243902439024,"",""
130,"2026-02-12 19:54:58.219375","val",9,0.6782575947778056,0.08629039489552637,0.8010291595197255,0.1076923076923077,0.5,0.14285714285714285,"",""
143,"2026-02-12 19:55:50.630078","train",10,0.9663646362820896,0.8262529184779549,0.8570261437908496,0.47129909365558914,0.9512195121951219,0.6585365853658537,"",""
143,"2026-02-12 19:56:13.837316","val",10,0.6810193321616872,0.11677173360436274,0.8198970840480274,0.07079646017699115,0.2857142857142857,0.14285714285714285,"",""
