"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score","loss","lr"
39,"2026-02-13 21:47:44.054566","train",0,0.5473217940829679,0.07964437348887193,0.9271765663140765,0.0,0.0,0.0223463687150838,"",""
39,"2026-02-13 21:48:07.961075","val",0,0.4261808367071525,0.019338569378223112,0.9777015437392796,0.0,0.0,0.0,"",""
78,"2026-02-13 21:49:06.912915","train",1,0.734353742330386,0.17778233861243395,0.9271765663140765,0.0,0.0,0.12290502793296089,"",""
78,"2026-02-13 21:49:30.652420","val",1,0.8136302294197031,0.13616803867761726,0.9777015437392796,0.0,0.0,0.23076923076923078,"",""
100,"2026-02-13 21:49:52.675523","train",2,"","","","","","",0.7160059809684753,8.281830657740928e-05
117,"2026-02-13 21:50:29.510282","train",2,0.7601417852091356,0.20158966137188178,0.9271765663140765,0.0,0.0,0.1564245810055866,"",""
117,"2026-02-13 21:50:53.305511","val",2,0.835357624831309,0.12145195062718717,0.9777015437392796,0.0,0.0,0.23076923076923078,"",""
156,"2026-02-13 21:52:00.541117","train",3,0.7892195194893379,0.27910656326356603,0.9271765663140765,0.0,0.0,0.20670391061452514,"",""
156,"2026-02-13 21:52:24.180115","val",3,0.8408906882591094,0.09453514166070652,0.9777015437392796,0.0,0.0,0.23076923076923078,"",""
195,"2026-02-13 21:53:31.663099","train",4,0.7864642190905058,0.27348136970220926,0.9336859235150529,0.1641025641025641,0.0893854748603352,0.22346368715083798,"",""
195,"2026-02-13 21:53:55.343118","val",4,0.8165991902834008,0.08181047537682075,0.9777015437392796,0.0,0.0,0.23076923076923078,"",""
200,"2026-02-13 21:54:16.451916","train",5,"","","","","","",0.5959539413452148,0.00019065283049482035
234,"2026-02-13 21:55:02.676376","train",5,0.8038098646618015,0.3603649163134723,0.9336859235150529,0.1641025641025641,0.0893854748603352,0.2681564245810056,"",""
234,"2026-02-13 21:55:26.410586","val",5,0.844399460188934,0.13321202508804858,0.9777015437392796,0.0,0.0,0.23076923076923078,"",""
273,"2026-02-13 21:56:33.652115","train",6,0.80497179739227,0.3097703059851725,0.9349064279902359,0.2079207920792079,0.11731843575418995,0.2122905027932961,"",""
273,"2026-02-13 21:56:57.231735","val",6,0.8070175438596492,0.06961396787093026,0.9759862778730704,0.0,0.0,0.15384615384615385,"",""
300,"2026-02-13 21:57:26.016943","train",7,"","","","","","",0.782921314239502,0.0001926608277306569
312,"2026-02-13 21:58:04.638866","train",7,0.7794448216776445,0.2680947885979092,0.9332790886899919,0.16326530612244897,0.0893854748603352,0.19553072625698323,"",""
312,"2026-02-13 21:58:28.246892","val",7,0.8110661268556006,0.07559225668576797,0.9777015437392796,0.0,0.0,0.15384615384615385,"",""
351,"2026-02-13 21:59:35.748397","train",8,0.8117350303107557,0.3420565836894691,0.9349064279902359,0.2079207920792079,0.11731843575418995,0.25139664804469275,"",""
351,"2026-02-13 21:59:59.265094","val",8,0.8357624831309042,0.07952054534092821,0.9725557461406518,0.0,0.0,0.15384615384615385,"",""
390,"2026-02-13 22:01:06.339856","train",9,0.8084404362395543,0.3076957111531335,0.934092758340114,0.18181818181818182,0.1005586592178771,0.20670391061452514,"",""
390,"2026-02-13 22:01:30.141906","val",9,0.8290148448043185,0.08234504805983814,0.9725557461406518,0.0,0.0,0.3076923076923077,"",""
400,"2026-02-13 22:01:52.897427","train",10,"","","","","","",0.7282227277755737,0.00015727923376009835
429,"2026-02-13 22:02:37.457926","train",10,0.8151301291118078,0.3160701461895858,0.935720097640358,0.21,0.11731843575418995,0.2011173184357542,"",""
429,"2026-02-13 22:03:00.894321","val",10,0.8541160593792173,0.14198691766957278,0.9759862778730704,0.0,0.0,0.15384615384615385,"",""
468,"2026-02-13 22:04:08.130458","train",11,0.8147109508482844,0.31603668451985867,0.935720097640358,0.21,0.11731843575418995,0.22905027932960895,"",""
468,"2026-02-13 22:04:32.013413","val",11,0.8468286099865048,0.10593302054190036,0.9777015437392796,0.0,0.0,0.3076923076923077,"",""
500,"2026-02-13 22:05:02.505007","train",12,"","","","","","",0.6728488206863403,0.00010345200009051524
507,"2026-02-13 22:05:39.249997","train",12,0.8260974013398996,0.37444502234338417,0.935720097640358,0.21,0.11731843575418995,0.2681564245810056,"",""
507,"2026-02-13 22:06:02.867340","val",12,0.8454790823211875,0.07973500977400186,0.9742710120068611,0.0,0.0,0.15384615384615385,"",""
546,"2026-02-13 22:07:10.113442","train",13,0.8278623624494719,0.38216639435321426,0.9373474369406021,0.24509803921568626,0.13966480446927373,0.2849162011173184,"",""
546,"2026-02-13 22:07:33.613616","val",13,0.8473684210526315,0.08098019429500398,0.9742710120068611,0.0,0.0,0.15384615384615385,"",""
585,"2026-02-13 22:08:41.222159","train",14,0.8326326601150656,0.3706022062334063,0.9369406021155411,0.24390243902439024,0.13966480446927373,0.22905027932960895,"",""
585,"2026-02-13 22:09:04.871705","val",14,0.8493927125506073,0.11536819665411721,0.9759862778730704,0.0,0.0,0.23076923076923078,"",""
600,"2026-02-13 22:09:29.339815","train",15,"","","","","","",0.6015069484710693,4.851323939645702e-05
624,"2026-02-13 22:10:12.066148","train",15,0.8363292731056697,0.3679209507359286,0.9377542717656632,0.2608695652173913,0.15083798882681565,0.24022346368715083,"",""
624,"2026-02-13 22:10:35.784468","val",15,0.8526315789473684,0.1010504159709769,0.9759862778730704,0.0,0.0,0.07692307692307693,"",""
663,"2026-02-13 22:11:43.091570","train",16,0.8471028898786834,0.40757045276206605,0.9369406021155411,0.2857142857142857,0.17318435754189945,0.27932960893854747,"",""
663,"2026-02-13 22:12:06.678943","val",16,0.8518218623481781,0.1144324096510381,0.9742710120068611,0.0,0.0,0.15384615384615385,"",""
700,"2026-02-13 22:12:38.766608","train",17,"","","","","","",0.5877910852432251,1.0155012056071251e-05
702,"2026-02-13 22:13:13.839630","train",17,0.8559693681194094,0.42223238578624916,0.9381611065907242,0.32142857142857145,0.2011173184357542,0.27932960893854747,"",""
702,"2026-02-13 22:13:37.591454","val",17,0.8744939271255061,0.17852691785893426,0.9742710120068611,0.11764705882352941,0.07692307692307693,0.23076923076923078,"",""
