"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score","loss","lr"
13,"2026-02-13 14:09:16.834381","train",0,0.593138774288707,0.08985155378528462,0.9329517579721995,0.0,0.0,0.06707317073170732,"",""
13,"2026-02-13 14:09:40.203297","val",0,0.7078830260648442,0.044796620855092534,0.9811320754716981,0.0,0.0,0.09090909090909091,"",""
26,"2026-02-13 14:10:32.695062","train",1,0.7197299651567944,0.20935680302614115,0.9329517579721995,0.0,0.0,0.15853658536585366,"",""
26,"2026-02-13 14:10:55.992064","val",1,0.6787984742530198,0.0810976222696252,0.9811320754716981,0.0,0.0,0.2727272727272727,"",""
39,"2026-02-13 14:11:48.491029","train",2,0.8065160000855048,0.2762040181563941,0.9067865903515945,0.3048780487804878,0.3048780487804878,0.21951219512195122,"",""
39,"2026-02-13 14:12:11.793777","val",2,0.7878258105530833,0.13202617637359013,0.9279588336192109,0.16,0.36363636363636365,0.36363636363636365,"",""
52,"2026-02-13 14:13:04.121422","train",3,0.8475182232102776,0.42498126356456434,0.928045789043336,0.4567901234567901,0.45121951219512196,0.3719512195121951,"",""
52,"2026-02-13 14:13:27.430330","val",3,0.8528289891926255,0.2650439952171906,0.9605488850771869,0.34285714285714286,0.5454545454545454,0.5454545454545454,"",""
65,"2026-02-13 14:14:19.768988","train",4,0.9120663303477907,0.5095136781562528,0.7379394930498774,0.3245521601685985,0.9390243902439024,0.3780487804878049,"",""
65,"2026-02-13 14:14:43.133356","val",4,0.8507628734901462,0.30394518265503445,0.7169811320754716,0.09836065573770492,0.8181818181818182,0.6363636363636364,"",""
78,"2026-02-13 14:15:35.514517","train",5,0.9278312776554584,0.5645184506530897,0.5768601798855274,0.23841059602649006,0.9878048780487805,0.4451219512195122,"",""
78,"2026-02-13 14:15:58.860053","val",5,0.8722186904005086,0.22482587826827888,0.5265866209262435,0.06756756756756757,0.9090909090909091,0.36363636363636365,"",""
91,"2026-02-13 14:16:51.359238","train",6,0.944248199055172,0.6578698092290846,0.526573998364677,0.2196765498652291,0.9939024390243902,0.5426829268292683,"",""
91,"2026-02-13 14:17:14.732894","val",6,0.8452002542911633,0.1489756576032587,0.49056603773584906,0.06309148264984227,0.9090909090909091,0.45454545454545453,"",""
100,"2026-02-13 14:17:37.692412","train",7,"","","","","","",0.6514200568199158,0.0008649989207926915
104,"2026-02-13 14:18:07.029249","train",7,0.9580331758619952,0.7096601270668745,0.7620605069501226,0.3561946902654867,0.9817073170731707,0.5426829268292683,"",""
104,"2026-02-13 14:18:30.421986","val",7,0.7984742530197075,0.1036844618868884,0.7598627787307033,0.10256410256410256,0.7272727272727273,0.2727272727272727,"",""
117,"2026-02-13 14:19:23.074478","train",8,0.9692289604754066,0.7671579945296861,0.8565004088307441,0.4608294930875576,0.9146341463414634,0.5914634146341463,"",""
117,"2026-02-13 14:19:46.344305","val",8,0.7776541640178004,0.17477907795698783,0.8250428816466552,0.13559322033898305,0.7272727272727273,0.2727272727272727,"",""
130,"2026-02-13 14:20:38.782008","train",9,0.9416576708492763,0.6163325001583018,0.5629599345870809,0.23038156947444205,0.975609756097561,0.47560975609756095,"",""
130,"2026-02-13 14:21:02.200359","val",9,0.7706611570247934,0.07150259742635515,0.5660377358490566,0.06642066420664207,0.8181818181818182,0.18181818181818182,"",""
143,"2026-02-13 14:21:54.519109","train",10,0.9623484961843483,0.7401411440191521,0.705233033524121,0.304725168756027,0.9634146341463414,0.5670731707317073,"",""
143,"2026-02-13 14:22:17.869946","val",10,0.7388747616020344,0.06423346411516585,0.692967409948542,0.09137055837563451,0.8181818181818182,0.2727272727272727,"",""
