"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
13,"2026-02-13 14:26:42.517794","train",0,0.524914627607033,0.07342844494793721,0.9365014338385907,0.0,0.0,0.08387096774193549
13,"2026-02-13 14:27:05.958923","val",0,0.7152656158785757,0.10074287451157846,0.9794168096054888,0.0,0.0,0.4166666666666667
26,"2026-02-13 14:27:58.691538","train",1,0.7611181666807778,0.21227436373936917,0.9365014338385907,0.0,0.0,0.23225806451612904
26,"2026-02-13 14:28:22.041847","val",1,0.8276415645067133,0.08574723339415125,0.9794168096054888,0.0,0.0,0.16666666666666666
39,"2026-02-13 14:29:14.495411","train",2,0.8015635142381395,0.245283569511597,0.936911102007374,0.01282051282051282,0.0064516129032258064,0.25806451612903225
39,"2026-02-13 14:29:37.877649","val",2,0.7626970227670753,0.0860510154778085,0.9794168096054888,0.0,0.0,0.25
52,"2026-02-13 14:30:30.392139","train",3,0.8592808963395705,0.33153650623754066,0.9381401065137239,0.08484848484848485,0.04516129032258064,0.3225806451612903
52,"2026-02-13 14:30:53.714970","val",3,0.8012259194395797,0.11999032047199697,0.9794168096054888,0.0,0.0,0.16666666666666666
65,"2026-02-13 14:31:46.233057","train",4,0.9014619140349391,0.46896792405433785,0.934043424825891,0.44673539518900346,0.41935483870967744,0.3870967741935484
65,"2026-02-13 14:32:09.597180","val",4,0.8270577933450087,0.13907382931616874,0.9571183533447685,0.13793103448275862,0.16666666666666666,0.25
78,"2026-02-13 14:33:02.218386","train",5,0.9047610984110858,0.5223664883390419,0.9037279803359279,0.4789356984478936,0.6967741935483871,0.45161290322580644
78,"2026-02-13 14:33:25.630739","val",5,0.8537653239929948,0.1038516643531094,0.8953687821612349,0.11594202898550725,0.3333333333333333,0.25
91,"2026-02-13 14:34:18.253459","train",6,0.9345864025061383,0.6455306906902027,0.8574354772634166,0.4368932038834951,0.8709677419354839,0.5225806451612903
91,"2026-02-13 14:34:41.599237","val",6,0.8193228254524227,0.07826715446936566,0.8404802744425386,0.11428571428571428,0.5,0.16666666666666666
