"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score","loss","lr"
39,"2026-02-13 21:20:32.419172","train",0,0.5343493353653375,0.06848757088449359,0.9365014338385907,0.0,0.0,0.04516129032258064,"",""
39,"2026-02-13 21:20:56.445067","val",0,0.5577933450087565,0.02517494965296694,0.9794168096054888,0.0,0.0,0.08333333333333333,"",""
78,"2026-02-13 21:21:56.112264","train",1,0.7414303050828324,0.1322603536701902,0.9365014338385907,0.0,0.0,0.12258064516129032,"",""
78,"2026-02-13 21:22:20.277405","val",1,0.7737886748394629,0.05690511015420594,0.9794168096054888,0.0,0.0,0.08333333333333333,"",""
100,"2026-02-13 21:22:42.880434","train",2,"","","","","","",0.6445813179016113,8.281830657740928e-05
117,"2026-02-13 21:23:19.699975","train",2,0.7701775181328141,0.1667295339184805,0.9365014338385907,0.0,0.0,0.18064516129032257,"",""
117,"2026-02-13 21:23:43.867159","val",2,0.7568593111500291,0.052348964118825614,0.9794168096054888,0.0,0.0,0.08333333333333333,"",""
156,"2026-02-13 21:24:51.454934","train",3,0.8335562893348009,0.2922215126593073,0.9365014338385907,0.0,0.0,0.23870967741935484,"",""
156,"2026-02-13 21:25:15.187377","val",3,0.771015761821366,0.19072028626306115,0.9794168096054888,0.0,0.0,0.3333333333333333,"",""
195,"2026-02-13 21:26:22.362587","train",4,0.8772246211159088,0.35546379067220635,0.9365014338385907,0.0,0.0,0.2967741935483871,"",""
195,"2026-02-13 21:26:46.010428","val",4,0.7626970227670753,0.17210794990965864,0.9794168096054888,0.0,0.0,0.25,"",""
200,"2026-02-13 21:27:07.156029","train",5,"","","","","","",0.7208119630813599,0.00019065283049482035
234,"2026-02-13 21:27:53.350389","train",5,0.8491293427031298,0.4380004691577869,0.9365014338385907,0.0,0.0,0.36774193548387096,"",""
234,"2026-02-13 21:28:17.197146","val",5,0.73671920607122,0.12316341211620147,0.9794168096054888,0.0,0.0,0.3333333333333333,"",""
273,"2026-02-13 21:29:24.596941","train",6,0.921234442468885,0.5856749212548921,0.9549365014338386,0.47115384615384615,0.3161290322580645,0.45806451612903226,"",""
273,"2026-02-13 21:29:48.498995","val",6,0.8705487448920023,0.1859867045728645,0.9794168096054888,0.0,0.0,0.5833333333333334,"",""
300,"2026-02-13 21:30:17.482840","train",7,"","","","","","",0.6009483337402344,0.0001926608277306569
312,"2026-02-13 21:30:56.175589","train",7,0.962983659300652,0.7059612212600975,0.9582138467841049,0.5526315789473685,0.4064516129032258,0.5483870967741935,"",""
312,"2026-02-13 21:31:20.463880","val",7,0.86835960303561,0.1864385106609765,0.9759862778730704,0.125,0.08333333333333333,0.5833333333333334,"",""
351,"2026-02-13 21:32:28.270943","train",8,0.9695679169136115,0.7925389370314121,0.9635395329782875,0.7081967213114754,0.6967741935483871,0.6387096774193548,"",""
351,"2026-02-13 21:32:52.269043","val",8,0.840630472854641,0.21835530542456105,0.9691252144082333,0.25,0.25,0.3333333333333333,"",""
390,"2026-02-13 21:34:01.018341","train",9,0.9934270312985071,0.9348008711134437,0.9836132732486685,0.863013698630137,0.8129032258064516,0.7419354838709677,"",""
390,"2026-02-13 21:34:25.236534","val",9,0.7501459427904261,0.10538954037053272,0.9777015437392796,0.13333333333333333,0.08333333333333333,0.25,"",""
400,"2026-02-13 21:34:48.345362","train",10,"","","","","","",0.6214237213134766,0.00015727923376009835
429,"2026-02-13 21:35:33.003174","train",10,0.9925972963057037,0.9584215320379118,0.9897582957804179,0.9201277955271565,0.9290322580645162,0.7806451612903226,"",""
429,"2026-02-13 21:35:56.826752","val",10,0.7663455925277292,0.13333103285366701,0.9708404802744426,0.10526315789473684,0.08333333333333333,0.3333333333333333,"",""
468,"2026-02-13 21:37:04.234705","train",11,0.9934467868935738,0.9723436488323561,0.9905776321179844,0.9225589225589226,0.8838709677419355,0.7870967741935484,"",""
468,"2026-02-13 21:37:28.117914","val",11,0.6382078225335668,0.0916382228197008,0.9777015437392796,0.0,0.0,0.25,"",""
500,"2026-02-13 21:37:59.291861","train",12,"","","","","","",0.6081699132919312,0.00010345200009051524
507,"2026-02-13 21:38:36.657227","train",12,0.9989952868794626,0.989738240501845,0.994264645637034,0.9554140127388535,0.967741935483871,0.7870967741935484,"",""
507,"2026-02-13 21:39:00.772828","val",12,0.6943957968476357,0.1616945206752851,0.9656946826758147,0.09090909090909091,0.08333333333333333,0.3333333333333333,"",""
546,"2026-02-13 21:40:08.929126","train",13,0.9993932210086642,0.9934308699991455,0.9967226546497338,0.9741935483870968,0.9741935483870968,0.7870967741935484,"",""
546,"2026-02-13 21:40:32.880286","val",13,0.7184763572679509,0.15132302782698898,0.9708404802744426,0.10526315789473684,0.08333333333333333,0.16666666666666666,"",""
