"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-02-14 15:47:31.099466","train",0,0.7382118701934814,3.6363179821643555e-05,"","","","","",""
200,"2026-02-14 15:47:57.307790","train",0,0.7269036173820496,3.7452108640357554e-05,"","","","","",""
300,"2026-02-14 15:48:23.345223","train",0,0.7385475635528564,3.926495554422416e-05,"","","","","",""
400,"2026-02-14 15:48:49.635237","train",0,0.7190963625907898,4.17986724340993e-05,"","","","","",""
500,"2026-02-14 15:49:16.240901","train",0,0.6562721133232117,4.504899914864859e-05,"","","","","",""
600,"2026-02-14 15:49:42.955437","train",0,0.6733015775680542,4.901047062733305e-05,"","","","","",""
700,"2026-02-14 15:50:09.909890","train",0,0.6300477981567383,5.367642609929561e-05,"","","","","",""
800,"2026-02-14 15:50:36.255110","train",0,0.6546283960342407,5.903902028270259e-05,"","","","","",""
900,"2026-02-14 15:51:02.616024","train",0,0.6358087062835693,6.508923657570645e-05,"","","","","",""
1000,"2026-02-14 15:51:29.185503","train",0,0.6635618805885315,7.181690221685249e-05,"","","","","",""
1100,"2026-02-14 15:51:56.580533","train",0,0.627391517162323,7.921070538943872e-05,"","","","","",""
1200,"2026-02-14 15:52:23.145078","train",0,0.6588776707649231,8.725821424106943e-05,"","","","","",""
1277,"2026-02-14 16:02:41.336804","train",0,"","",0.7954315971492225,0.2788590983197702,0.36413092274415376,0.16398649990073458,0.9464263594698378,0.2584541062801932
1277,"2026-02-14 16:05:06.586945","val",0,"","",0.7930563634578898,0.10805520632639179,0.3390869550327066,0.05462205457306618,0.9570815450643777,0.2978540772532189
1300,"2026-02-14 16:05:33.945246","train",1,0.6248475313186646,9.594589778642328e-05,"","","","","",""
1400,"2026-02-14 16:05:59.084490","train",1,0.6324937343597412,0.00010525914865809041,"","","","","",""
1500,"2026-02-14 16:06:25.395963","train",1,0.6967347860336304,0.00011518230766722614,"","","","","",""
1600,"2026-02-14 16:06:51.631338","train",1,0.6094304919242859,0.00012569869013272347,"","","","","",""
1700,"2026-02-14 16:07:17.872800","train",1,0.67649906873703,0.0001367906139346373,"","","","","",""
1800,"2026-02-14 16:07:44.008324","train",1,0.7509366869926453,0.0001484394292446896,"","","","","",""
1900,"2026-02-14 16:08:10.488891","train",1,0.6211311221122742,0.000160625549883868,"","","","","",""
2000,"2026-02-14 16:08:37.191401","train",1,0.7285928726196289,0.00017332848625439335,"","","","","",""
2100,"2026-02-14 16:09:03.756485","train",1,0.6559288501739502,0.00018652687979068552,"","","","","",""
2200,"2026-02-14 16:09:30.466062","train",1,0.7045550346374512,0.00020019853887139917,"","","","","",""
2300,"2026-02-14 16:09:57.236153","train",1,0.6072326302528381,0.00021432047613215253,"","","","","",""
2400,"2026-02-14 16:10:23.480620","train",1,0.6522557139396667,0.00022886894711620666,"","","","","",""
2500,"2026-02-14 16:10:50.016801","train",1,0.5808402299880981,0.00024381949019811164,"","","","","",""
2554,"2026-02-14 16:21:06.625012","train",1,"","",0.8154144471741843,0.3251664616133145,0.7727788434069298,0.28490328546841687,0.6869193608324043,0.30732069862504646
2554,"2026-02-14 16:23:30.873759","val",1,"","",0.8017982812370995,0.12731391309293166,0.7754203911092845,0.1036156106896316,0.6506437768240343,0.3373390557939914
2600,"2026-02-14 16:24:03.718118","train",2,0.6933062076568604,0.0002591469677131916,"","","","","",""
2700,"2026-02-14 16:24:29.082104","train",2,0.5983323454856873,0.00027482560822371437,"","","","","",""
2800,"2026-02-14 16:24:54.819129","train",2,0.696931004524231,0.00029082904985067897,"","","","","",""
2900,"2026-02-14 16:25:21.218845","train",2,0.7070590853691101,0.0003071303845983643,"","","","","",""
3000,"2026-02-14 16:25:47.707597","train",2,0.6764041781425476,0.00032370220359711176,"","","","","",""
3100,"2026-02-14 16:26:13.739840","train",2,0.6297526359558105,0.00034051664318827187,"","","","","",""
3200,"2026-02-14 16:26:39.761232","train",2,0.6126769781112671,0.00035754543177382743,"","","","","",""
3300,"2026-02-14 16:27:06.153930","train",2,0.6776995062828064,0.0003747599373519206,"","","","","",""
3400,"2026-02-14 16:27:32.385344","train",2,0.6579210758209229,0.0003921312156583589,"","","","","",""
3500,"2026-02-14 16:27:59.170677","train",2,0.6649106740951538,0.00040963005883315614,"","","","","",""
3600,"2026-02-14 16:28:25.674087","train",2,0.6183580756187439,0.00042722704453027895,"","","","","",""
3700,"2026-02-14 16:28:52.454669","train",2,0.6698306798934937,0.0004448925853880285,"","","","","",""
3800,"2026-02-14 16:29:19.151766","train",2,0.6794513463973999,0.0004625969787768771,"","","","","",""
