"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-02-14 19:10:27.287368","train",0,0.6432478427886963,8.035813170595652e-06,"","","","","",""
200,"2026-02-14 19:10:40.419017","train",0,0.6042073965072632,8.143225961899534e-06,"","","","","",""
300,"2026-02-14 19:10:53.653223","train",0,0.6585284471511841,8.322158232398707e-06,"","","","","",""
400,"2026-02-14 19:11:06.953581","train",0,0.7328011393547058,8.572476479344707e-06,"","","","","",""
500,"2026-02-14 19:11:20.305243","train",0,0.5988020300865173,8.893993938360813e-06,"","","","","",""
600,"2026-02-14 19:11:33.722344","train",0,0.7677984237670898,9.286470722788526e-06,"","","","","",""
700,"2026-02-14 19:11:47.157183","train",0,0.674809455871582,9.749614002668754e-06,"","","","","",""
800,"2026-02-14 19:12:00.626613","train",0,0.6949431300163269,1.0283078223224593e-05,"","","","","",""
900,"2026-02-14 19:12:14.147864","train",0,0.6480244398117065,1.0886465362682299e-05,"","","","","",""
1000,"2026-02-14 19:12:27.710377","train",0,0.6765609979629517,1.1559325229238576e-05,"","","","","",""
1100,"2026-02-14 19:12:41.285226","train",0,0.6720026731491089,1.2301155796951962e-05,"","","","","",""
1200,"2026-02-14 19:12:54.859842","train",0,0.6676031351089478,1.3111403580308445e-05,"","","","","",""
1300,"2026-02-14 19:13:08.424668","train",0,0.6733295917510986,1.3989464047181111e-05,"","","","","",""
1400,"2026-02-14 19:13:22.010161","train",0,0.6933081150054932,1.4934682069876385e-05,"","","","","",""
1500,"2026-02-14 19:13:35.611103","train",0,0.7147374153137207,1.5946352413929744e-05,"","","","","",""
1600,"2026-02-14 19:13:49.214306","train",0,0.6308518648147583,1.7023720264286625e-05,"","","","","",""
1700,"2026-02-14 19:14:02.806334","train",0,0.6827075481414795,1.8165981788475767e-05,"","","","","",""
1800,"2026-02-14 19:14:16.386414","train",0,0.7560321688652039,1.9372284736354913e-05,"","","","","",""
1900,"2026-02-14 19:14:29.984835","train",0,0.7530450820922852,2.0641729075981127e-05,"","","","","",""
1917,"2026-02-14 19:26:35.101354","train",0,"","",0.7851240059902937,0.20320566835160314,0.9285644395883955,0.10775028006925348,0.06400483968542045,0.20084694494857835
1917,"2026-02-14 19:29:37.677439","val",0,"","",0.7969389918973852,0.0813898928051823,0.9731136760626091,0.09666283084004602,0.07304347826086957,0.2539130434782609
