"step","time","part","epoch","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score","loss","lr"
37,"2026-03-10 21:39:35.968443","val",0,0.29392712550607286,0.01595003441569886,0.9777015437392796,0.0,0.0,0.0,"",""
74,"2026-03-10 21:40:28.867268","val",1,0.5503373819163293,0.03445643969881859,0.9777015437392796,0.0,0.0,0.15384615384615385,"",""
100,"2026-03-10 21:40:53.149180","train",2,"","","","","","",0.5881291627883911,8.972407258633745e-05
111,"2026-03-10 21:41:21.467204","val",2,0.7336032388663968,0.056039026098666456,0.9777015437392796,0.0,0.0,0.15384615384615385,"",""
148,"2026-03-10 21:42:20.850894","val",3,0.7403508771929824,0.15712125486135145,0.9777015437392796,0.0,0.0,0.15384615384615385,"",""
185,"2026-03-10 21:43:20.414261","val",4,0.6481781376518219,0.213990314389865,0.9777015437392796,0.0,0.0,0.23076923076923078,"",""
200,"2026-03-10 21:43:46.247282","train",5,"","","","","","",0.5619323253631592,0.00019575412284332996
222,"2026-03-10 21:44:19.971756","val",5,0.8738191632928475,0.2155704251603563,0.9777015437392796,0.0,0.0,0.38461538461538464,"",""
259,"2026-03-10 21:45:19.389944","val",6,0.8345479082321187,0.30694077994204033,0.9777015437392796,0.0,0.0,0.38461538461538464,"",""
296,"2026-03-10 21:46:18.325756","val",7,0.8472334682860999,0.33159998783225164,0.9777015437392796,0.0,0.0,0.5384615384615384,"",""
300,"2026-03-10 21:46:39.954899","train",8,"","","","","","",0.5441983938217163,0.00018873999183496482
333,"2026-03-10 21:47:17.470600","val",8,0.9268556005398111,0.4644077998025366,0.9777015437392796,0.0,0.0,0.5384615384615384,"",""
370,"2026-03-10 21:48:16.559470","val",9,0.8967611336032388,0.3306332031111473,0.9777015437392796,0.0,0.0,0.38461538461538464,"",""
400,"2026-03-10 21:48:47.375826","train",10,"","","","","","",0.5879777073860168,0.00014663768529063687
407,"2026-03-10 21:49:15.603001","val",10,0.9097165991902834,0.34885499782667817,0.9777015437392796,0.0,0.0,0.5384615384615384,"",""
444,"2026-03-10 21:50:13.884204","val",11,0.882995951417004,0.2970406289091115,0.9777015437392796,0.0,0.0,0.46153846153846156,"",""
481,"2026-03-10 21:51:11.469751","val",12,0.9215924426450742,0.4441017910407844,0.9777015437392796,0.0,0.0,0.5384615384615384,"",""
500,"2026-03-10 21:51:37.858154","train",13,"","","","","","",0.6185821890830994,8.79004691409226e-05
518,"2026-03-10 21:52:09.039503","val",13,0.8966261808367071,0.343830856926269,0.9811320754716981,0.47619047619047616,0.38461538461538464,0.5384615384615384,"",""
555,"2026-03-10 21:53:06.980893","val",14,0.8713900134952767,0.42029730418268346,0.9794168096054888,0.3333333333333333,0.23076923076923078,0.46153846153846156,"",""
592,"2026-03-10 21:54:04.638999","val",15,0.9078272604588394,0.39792633213708434,0.9811320754716981,0.26666666666666666,0.15384615384615385,0.46153846153846156,"",""
600,"2026-03-10 21:54:27.351647","train",16,"","","","","","",0.5669049024581909,3.3479140050624895e-05
629,"2026-03-10 21:55:02.618528","val",16,0.8673414304993253,0.3492838000910555,0.9759862778730704,0.2222222222222222,0.15384615384615385,0.46153846153846156,"",""
