"step","time","part","epoch","loss","lr","chagas_auroc","chagas_auprc","chagas_accuracy","chagas_f_measure","chagas_tpr","challenge_score"
100,"2026-03-11 07:43:31.355866","train",0,0.5540580749511719,8.039515026297565e-06,"","","","","",""
200,"2026-03-11 07:43:44.523170","train",0,0.5388956069946289,8.158027575246339e-06,"","","","","",""
300,"2026-03-11 07:43:57.792660","train",0,0.6025605797767639,8.35544008379453e-06,"","","","","",""
400,"2026-03-11 07:44:11.136556","train",0,0.6669334173202515,8.6315900360991e-06,"","","","","",""
500,"2026-03-11 07:44:24.543598","train",0,0.5269034504890442,8.986250097313652e-06,"","","","","",""
600,"2026-03-11 07:44:37.996644","train",0,0.5477858185768127,9.419128300737153e-06,"","","","","",""
700,"2026-03-11 07:44:51.481660","train",0,0.5490779876708984,9.929868288169872e-06,"","","","","",""
800,"2026-03-11 07:45:04.983988","train",0,0.6052104234695435,1.05180496032777e-05,"","","","","",""
900,"2026-03-11 07:45:18.501628","train",0,0.5760743618011475,1.1183188037724502e-05,"","","","","",""
1000,"2026-03-11 07:45:32.029942","train",0,0.5441806316375732,1.1924736029786831e-05,"","","","","",""
1100,"2026-03-11 07:45:45.563585","train",0,0.570273756980896,1.274208311512277e-05,"","","","","",""
1200,"2026-03-11 07:45:59.104195","train",0,0.5575472712516785,1.3634556429324625e-05,"","","","","",""
1300,"2026-03-11 07:46:12.646565","train",0,0.6106171011924744,1.4601421261840777e-05,"","","","","",""
1400,"2026-03-11 07:46:26.192797","train",0,0.6063840389251709,1.5641881660811085e-05,"","","","","",""
1500,"2026-03-11 07:46:39.746920","train",0,0.727595329284668,1.675508108831835e-05,"","","","","",""
1600,"2026-03-11 07:46:53.299658","train",0,0.6730111837387085,1.794010312551565e-05,"","","","","",""
1700,"2026-03-11 07:47:06.853743","train",0,0.5611395835876465,1.9195972227049608e-05,"","","","","",""
1800,"2026-03-11 07:47:20.414777","train",0,0.6040962934494019,2.0521654524158223e-05,"","","","","",""
1825,"2026-03-11 07:50:27.343140","val",0,"","",0.7846081070797607,0.07338790878133591,0.9796204959583504,0.0,0.0,0.226890756302521
1900,"2026-03-11 07:50:57.039451","train",1,0.6576217412948608,2.191605867578252e-05,"","","","","",""
2000,"2026-03-11 07:51:10.329721","train",1,0.7530505657196045,2.3378036766990852e-05,"","","","","",""
2100,"2026-03-11 07:51:23.726745","train",1,0.5549473762512207,2.4906385253976475e-05,"","","","","",""
2200,"2026-03-11 07:51:37.183547","train",1,0.5339964032173157,2.64998459548508e-05,"","","","","",""
2300,"2026-03-11 07:51:50.675226","train",1,0.5345838069915771,2.81571070854159e-05,"","","","","",""
2400,"2026-03-11 07:52:04.196187","train",1,0.5223915576934814,2.9876804339064344e-05,"","","","","",""
2500,"2026-03-11 07:52:17.731501","train",1,0.5087555050849915,3.165752200991694e-05,"","","","","",""
2600,"2026-03-11 07:52:31.278924","train",1,0.5855950117111206,3.3497794158273846e-05,"","","","","",""
2700,"2026-03-11 07:52:44.820622","train",1,0.5960130095481873,3.5396105817419725e-05,"","","","","",""
2800,"2026-03-11 07:52:58.366414","train",1,0.6109679341316223,3.7350894240789314e-05,"","","","","",""
2900,"2026-03-11 07:53:11.920951","train",1,0.5729875564575195,3.9360550188466864e-05,"","","","","",""
3000,"2026-03-11 07:53:25.474442","train",1,0.5821371078491211,4.142341925196028e-05,"","","","","",""
3100,"2026-03-11 07:53:39.037541","train",1,0.6355271339416504,4.353780321615929e-05,"","","","","",""
3200,"2026-03-11 07:53:52.603643","train",1,0.5694549083709717,4.570196145735664e-05,"","","","","",""
3300,"2026-03-11 07:54:06.166629","train",1,0.6152890920639038,4.791411237618125e-05,"","","","","",""
3400,"2026-03-11 07:54:19.721841","train",1,0.5717223882675171,5.017243486426365e-05,"","","","","",""
